股票,主营业务,公司亮点,概念贴合度排名,所属申万行业
双环传动,主营业务：机械传动齿轮及其相关零部件的研发、设计与制造。,"公司亮点：全球最大的专业齿轮散件研发制造企业,国内新能源汽车齿轮龙头供应商","概念贴合度排名：减速器,机器人概念”,比亚迪概念四,创投,分拆上市意愿,高端",所属申万行业：汽车零部件
科沃斯,主营业务：各类家庭服务机器人、包括清洁类电器在内的智能生活电器相关设备和零部件,公司亮点：国内领先的家庭服务机器人和清洁类小家电制造商,"概念贴合度排名：数据中心,家用电器四,华为概念、国,电子商务,沪股通,机器人概",所属申万行业：小家电
三花智控,主营业务：制冷空调电器零部件业务和汽车零部件业务。,公司亮点：全球最大的制冷控制元器件和全球领先的汽车空调及热管理系统控制部件制,"概念贴合度排名：人形机器人具,同花顺新质50,汽车热管理具,DeepSeek概念,比亚",所属申万行业：家电零部件
泰禾智能,主营业务：基于AI视觉识别的成套智能化装备和服务提供商。,公司亮点：智能检测分选装备和工业机器人及自动化成套装备高新技术企业,"概念贴合度排名：新型工业化具,机器人概念口,高端装备具,2024年报预增,股权转让(",所属申万行业：专用设备
埃斯顿,主营业务：从自动化核心部件及运动控制系统、工业机器人、机器人工作站到智能制造,"公司亮点：机器人运动控制系统解决方案提供商,国产机器人龙头企业之一","概念贴合度排名：人形机器人具,新型工业化口,机器视觉口,比亚迪概念,长安汽车概念",所属申万行业：自动化设备
和而泰,主营业务：家用电器、电动工具及工业自动化、汽车电子、智能化产品等领域智能控制,公司亮点：国内智能控制器行业具有领导地位的龙头企业,"概念贴合度排名：语音技术―,智能穿戴一,华为海思概念股具,2025一季报预增,5G,",所属申万行业：家电零部件
雷赛智能,主营业务：智能装备运动控制核心部件的研发、生产、销售与服务。,公司亮点：智能装备运动控制领域的知名品牌和行业领军企业,"概念贴合度排名：人形机器人，富士康概念，小米概念，比亚迪概念，低空经济，华为概念，机器人概念",所属申万行业：自动化设备
派斯林,主营业务：工业自动化系统集成业务。,公司亮点：主营工业自动化设备,"概念贴合度排名：新型工业化，机器人概念，智能物流",所属申万行业：自动化设备
五洲新春,主营业务：轴承及配件、汽车零配件、五金、车床零部件的研发、生产和销售。,"公司亮点：轴承套圈定位中高端产品，稳定供应于世界排名前五位的轴承制造商","概念贴合度排名：人形机器人，减速器，汽车热管理，机器人概念",所属申万行业：通用设备
拓邦股份,主营业务：电器产品智能控制、智能电源及其控制、高效照明产品及其控制、高效精密电,公司亮点：国内一流的智能控制控制器产品制造商,"概念贴合度排名：人形机器人一,无线耳机一,机器视觉D,AI智能体,DeepSeek概念,",所属申万行业：消费电子
博实股份,主营业务：自动化成套设备的研发、生产和销售。,公司亮点：主要业务包括工业机器人、自动化成套装备及系统解决方案,"概念贴合度排名：人形机器人一,机器人概念四,3D打印具,创投,高端装备,工业互联",所属申万行业：自动化设备
科瑞技术,主营业务：工业自动化设备的研发、设计、生产、销售、技术服务、精密零部件制造业,公司亮点：主营工业自动化设备以及精密零部件制造业务,"概念贴合度排名：新型烟草(电子烟)一,机器视觉一,物联网具,AI眼镜,比亚迪概念,低",所属申万行业：自动化设备
鸣志电器,主营业务：运动控制领域和智能电源领域核心技术及系统级解决方案的研发和经营。,"公司亮点：混合式步进电机全球市占率超10%,位列全球第四,打破了日企垄断","概念贴合度排名：人形机器人一,减速器一,智能座舱具,5G,安防,沪股通,华为概念",所属申万行业：电机I
兆威机电,主营业务：微型传动系统、微型驱动系统的研发、生产和销售业务。,"公司亮点：国内少有、全球领先的微型传动系统制造商,曾获颁国家科学进步奖二等奖","概念贴合度排名：人形机器人一,减速器一,新型工业化具,5G,MR(混合现实),比亚迪",所属申万行业：电机I
柯力传感,"主营业务：传感器与物联网系统集成,传感器包括称重、测力、振动、机器人六维力/力",公司亮点：国内少数能向全球市场提供中高端应变式传感器及解决方案的供应商,"概念贴合度排名：人形机器人一,机器视觉一,机器人概念口,2025一季报预增,传感器,",所属申万行业：通用设备
众辰科技,主营业务：工业自动化领域产品研发、生产、销售及服务。,公司亮点：主营低压变频器,"概念贴合度排名：新型工业化具,机器人概念口,新能源汽车具,风电,工业互联网,融蛇",所属申万行业：自动化设备
新时达,主营业务：智能制造业务、工业机器人业务、运动控制业务、电气控制业务、变频驱动业,公司亮点：工业机器人出货量连续多年位居国产第一,"概念贴合度排名：减速器一,新型工业化,机器人概念四,比亚迪概念,长安汽车概念,",所属申万行业：自动化设备
凯中精密,主营业务：核心精密零组件的研发、设计、制造及销售。,"公司亮点：主营新能源核心精密零组件,换向器产销量全球第一,博世""全球优秀供应商","概念贴合度排名：汽车热管理一,新能源汽车,比亚迪概念国,2024年报预增,扁线电机",所属申万行业：电机I
卧龙电驱,主营业务：电机及控制、光伏与储能、工业互联网等。,公司亮点：全球主要的电机与驱动专业制造商,"概念贴合度排名：人形机器人具,飞行汽车(eVTOL)②,特斯拉概念⑤,2024年报预增,D",所属申万行业：电机I
中大力德,主营业务：机械传动与控制应用领域关键零部件的研发、制造、销售和服务。,公司亮点：较早进入减速器和减速电机行业,"概念贴合度排名：减速器一,新型工业化,机器人概念四,长三角一体化,共同富裕示范",所属申万行业：通用设备
夏厦精密,主营业务：研发、生产和销售小模数齿轮及相关产品。,公司亮点：小模数精密圆柱齿轮全球市占率前二,"概念贴合度排名：人形机器人具,减速器具,工业母机具,安防,比亚迪概念,共同富裕示",所属申万行业：通用设备
捷昌驱动,主营业务：线性驱动系统的研发、生产和销售业务。,公司亮点：经营应用于智慧办公、医疗康护、智能家居领域的线性驱动系统,"概念贴合度排名：人形机器人一,机器人概念四,长安汽车概念四,人民币贬值受益具",所属申万行业：自动化设备
襄阳轴承,主营业务：从事轴承及其零部件的生产、科研、销售及相关业务。,公司亮点：国内主要的汽车轴承专业生产基地之一,"概念贴合度排名：减速器，农机，军民融合，比亚迪概念",所属申万行业：汽车零部件
